"course","link","hole","hole_lat","hole_lon","hole_z","tee_lat","tee_lon","tee_z","midpt1_lat","midpt1_lon","midpt1_z","midpt2_lat","midpt2_lon","midpt2_z"
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","7","32.675189967519","-85.43090024309","681.243778111572","32.678813367881","-85.428389242839","688.166652883911","32.676564267656","-85.428671842867","693.922440514526","32.675416767542","-85.430002043","679.946981246338"
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","8","32.67440426744","-85.432168343217","680.144674684448","32.674787667479","-85.430127143013","682.828179130249",NA,NA,NA,NA,NA,NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","9","32.674841667484","-85.428057142806","725.450513930664","32.673762567376","-85.432031543203","685.504925253906","32.674316067432","-85.429376542938","696.476936099853",NA,NA,NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","10","32.667490466749","-85.426155442616","732.736736126099","32.670890667089","-85.427373142737","694.89038243042","32.668553366855","-85.426814242681","704.354085958862","","",NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","11","32.666872166687","-85.430001143","704.680537949219","32.666158466616","-85.425792742579","768.925198307495","32.666339366634","-85.428617842862","708.373685661621","","",NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","12","32.67049556705","-85.428850942885","681.129136943359","32.667756866776","-85.432047743205","690.14408788147","32.668583066858","-85.429442242944","682.285310646362","32.670131067013","-85.428783442878","679.964052267456"
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","13","32.666973866697","-85.426552342655","744.454615428467","32.670450567045","-85.427986942799","697.05770124939","32.668158266816","-85.427734042773","725.024889820556",NA,NA,NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","14","32.670563067056","-85.421994742199","710.282686389771","32.667237566724","-85.425482242548","740.279474193115","32.668753166875","-85.423294342329","715.753823504028","32.670052767005","-85.422018142202","706.877443200684"
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","15","32.6720021672","-85.42389914239","679.683907299194","32.671430667143","-85.42180484218","694.017757887573",NA,NA,NA,NA,NA,NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","16","32.671123767112","-85.426949242695","683.096309303589","32.671545867155","-85.424369842437","680.467372051392","32.67040376704","-85.425973642597","686.992607173462",NA,NA,NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","17","32.672240667224","-85.43039534304","683.359583497314","32.672884167288","-85.428335242834","681.040878262329",NA,NA,NA,NA,NA,NA
"RTJ Trail (Grand National)","http://www.provisualizer.com/courses/rtjgrandnationallake.php","18","32.673891267389","-85.427267842727","712.67032651062","32.673117267312","-85.431744443174","691.651243781128","32.67349796735","-85.42889864289","696.163349952393",NA,NA,NA
"Robert Trent Jones GC","http://www.provisualizer.com/courses/roberttrentjonesgc.php","1","38.773809277381","-77.635826663583","330.061510090027","38.775028777503","-77.639712863971","323.515899878235","38.774747077475","-77.636781563678","329.508378968811","","",NA
"Robert Trent Jones GC","http://www.provisualizer.com/courses/roberttrentjonesgc.php","2","38.776421077642","-77.636381963638","341.845020209656","38.773286377329","-77.634651263465","322.150894020996","38.775318577532","-77.636041763604","326.614540519409",NA,NA,NA
"Robert Trent Jones GC","http://www.provisualizer.com/courses/roberttrentjonesgc.php","3","38.775885577589","-77.632009763201","325.025734075928","38.777067277707","-77.636658263666","343.78706162384","38.776935877694","-77.633656763366","321.014319452209",NA,NA,NA
"Robert Trent Jones GC","http://www.provisualizer.com/courses/roberttrentjonesgc.php","4","38.778012277801","-77.632543463254","324.40286708252","38.776379677638","-77.631828863183","323.011303522339",NA,NA,NA,NA,NA,NA
"Robert Trent Jones GC","http://www.provisualizer.com/courses/roberttrentjonesgc.php","5","38.781874178187","-77.631526463153","356.28562725708","38.777579377758","-77.631588563159","321.194666530151","38.77979607798","-77.632386863239","324.821332377319","38.781383678138","-77.631656963166","344.5311028302"
"Robert Trent Jones GC","http://www.provisualizer.com/courses/roberttrentjonesgc.php","6","38.783934278393","-77.630368163037","360.647273152771","38.780962478096","-77.632623563262","354.565383963318","38.783113478311","-77.631567863157","361.55509103241",NA,NA,NA
"Robert Trent Jones GC","http://www.provisualizer.com/courses/roberttrentjonesgc.php","7","38.781577178158","-77.630837963084","351.307021642151","38.784784778478","-77.628871462887","354.298955885925","38.782849778285","-77.630471663047","345.739290582886",NA,NA,NA
"Robert Trent Jones GC","http://www.provisualizer.com/courses/roberttrentjonesgc.php","8","38.785249178525","-77.627675362768","366.364563377991","38.781057878106","-77.630356463036","348.466674060974","38.783237678324","-77.62940336294","335.215656864929","38.784866678487","-77.62839536284","359.952442543945"
"Robert Trent Jones GC","http://www.provisualizer.com/courses/roberttrentjonesgc.php","9","38.784843278484","-77.625716962572","296.276407386169","38.786484878648","-77.626020262602","321.877357189941",NA,NA,NA,NA,NA,NA
